departure,arrival,date,prices,lowest_price
GVA,PER,Wed Aug 06 2025,"[{'price': 'CHF', 'currency': '1,855.15'}, {'price': 'CHF', 'currency': '983.45'}, {'price': 'CHF', 'currency': '1,619.50'}, {'price': 'CHF', 'currency': '1,855.15'}, {'price': 'CHF', 'currency': '983.45'}, {'price': 'CHF', 'currency': '958.45'}, {'price': 'CHF', 'currency': '1,237.45'}, {'price': 'CHF', 'currency': '1,855.15'}, {'price': 'CHF', 'currency': '983.45'}, {'price': 'CHF', 'currency': '1,682.15'}, {'price': 'CHF', 'currency': '1,855.15'}, {'price': 'CHF', 'currency': '1,237.45'}, {'price': 'CHF', 'currency': '1,237.45'}, {'price': 'CHF', 'currency': '1,792.50'}, {'price': 'CHF', 'currency': '1,237.45'}, {'price': 'CHF', 'currency': '1,266.25'}, {'price': 'CHF', 'currency': '1,748.05'}, {'price': 'CHF', 'currency': '1,792.50'}, {'price': 'CHF', 'currency': '1,792.50'}, {'price': 'CHF', 'currency': '1,266.25'}, {'price': 'CHF', 'currency': '1,748.05'}, {'price': 'CHF', 'currency': '1,619.50'}, {'price': 'CHF', 'currency': '1,792.50'}, {'price': 'CHF', 'currency': '1,266.25'}, {'price': 'CHF', 'currency': '1,748.05'}, {'price': 'CHF', 'currency': '1,402.45'}, {'price': 'CHF', 'currency': '1,406.45'}, {'price': 'CHF', 'currency': '1,748.05'}, {'price': 'CHF', 'currency': '1,393.15'}, {'price': 'CHF', 'currency': '1,402.45'}, {'price': 'CHF', 'currency': '1,406.45'}, {'price': 'CHF', 'currency': '1,406.45'}, {'price': 'CHF', 'currency': '1,393.15'}, {'price': 'CHF', 'currency': '891.25'}]",
GVA,PLO,Wed Aug 06 2025,[],
GVA,PPP,Wed Aug 06 2025,[],
GVA,MCY,Wed Aug 06 2025,[],
GVA,SYD,Wed Aug 06 2025,[],
GVA,TSV,Wed Aug 06 2025,[],
GVA,TSW,Wed Aug 06 2025,[],
GVA,ALQ,Wed Aug 06 2025,[],
GVA,AFL,Wed Aug 06 2025,[],
GVA,ATM,Wed Aug 06 2025,[],
GVA,AJU,Wed Aug 06 2025,"[{'price': 'CHF', 'currency': '1,317.55'}, {'price': 'CHF', 'currency': '1,317.55'}, {'price': 'CHF', 'currency': '1,317.55'}, {'price': 'CHF', 'currency': '1,317.55'}, {'price': 'CHF', 'currency': '1,317.55'}, {'price': 'CHF', 'currency': '1,317.55'}, {'price': 'CHF', 'currency': '1,317.55'}, {'price': 'CHF', 'currency': '1,317.55'}, {'price': 'CHF', 'currency': '2,043.55'}, {'price': 'CHF', 'currency': '2,043.55'}, {'price': 'CHF', 'currency': '2,043.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '2,043.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '2,043.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '2,043.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '2,043.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '2,043.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '2,043.55'}]",
GVA,ARU,Wed Aug 06 2025,[],
GVA,AIR,Wed Aug 06 2025,[],
GVA,BAZ,Wed Aug 06 2025,[],
GVA,BRA,Wed Aug 06 2025,[],
GVA,BRB,Wed Aug 06 2025,[],
GVA,BEL,Wed Aug 06 2025,"[{'price': 'CHF', 'currency': '1,367.55'}, {'price': 'CHF', 'currency': '1,367.55'}, {'price': 'CHF', 'currency': '1,367.55'}, {'price': 'CHF', 'currency': '1,367.55'}, {'price': 'CHF', 'currency': '1,776.55'}, {'price': 'CHF', 'currency': '1,367.55'}, {'price': 'CHF', 'currency': '1,367.55'}, {'price': 'CHF', 'currency': '1,776.55'}, {'price': 'CHF', 'currency': '2,158.55'}, {'price': 'CHF', 'currency': '1,367.55'}, {'price': 'CHF', 'currency': '1,367.55'}, {'price': 'CHF', 'currency': '1,776.55'}, {'price': 'CHF', 'currency': '2,158.55'}, {'price': 'CHF', 'currency': '1,776.55'}]",
GVA,CNF,Wed Aug 06 2025,"[{'price': 'CHF', 'currency': '1,268.55'}, {'price': 'CHF', 'currency': '1,268.55'}, {'price': 'CHF', 'currency': '1,268.55'}, {'price': 'CHF', 'currency': '1,268.55'}, {'price': 'CHF', 'currency': '2,006.55'}, {'price': 'CHF', 'currency': '1,268.55'}, {'price': 'CHF', 'currency': '2,006.55'}, {'price': 'CHF', 'currency': '2,002.55'}, {'price': 'CHF', 'currency': '2,006.55'}, {'price': 'CHF', 'currency': '1,268.55'}, {'price': 'CHF', 'currency': '2,006.55'}, {'price': 'CHF', 'currency': '2,002.55'}, {'price': 'CHF', 'currency': '2,006.55'}, {'price': 'CHF', 'currency': '2,002.55'}, {'price': 'CHF', 'currency': '2,006.55'}, {'price': 'CHF', 'currency': '2,006.55'}, {'price': 'CHF', 'currency': '2,006.55'}, {'price': 'CHF', 'currency': '1,706.55'}, {'price': 'CHF', 'currency': '2,002.55'}, {'price': 'CHF', 'currency': '2,006.55'}, {'price': 'CHF', 'currency': '2,002.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '2,006.55'}, {'price': 'CHF', 'currency': '2,006.55'}, {'price': 'CHF', 'currency': '1,706.55'}, {'price': 'CHF', 'currency': '2,006.55'}, {'price': 'CHF', 'currency': '2,002.55'}, {'price': 'CHF', 'currency': '1,706.55'}, {'price': 'CHF', 'currency': '2,006.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '2,002.55'}, {'price': 'CHF', 'currency': '2,006.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '2,002.55'}]",
GVA,BVB,Wed Aug 06 2025,[],
GVA,BYO,Wed Aug 06 2025,[],
GVA,BSB,Wed Aug 06 2025,"[{'price': 'CHF', 'currency': '1,317.55'}, {'price': 'CHF', 'currency': '1,317.55'}, {'price': 'CHF', 'currency': '1,317.55'}, {'price': 'CHF', 'currency': '1,317.55'}, {'price': 'CHF', 'currency': '1,317.55'}, {'price': 'CHF', 'currency': '1,317.55'}, {'price': 'CHF', 'currency': '1,317.55'}, {'price': 'CHF', 'currency': '2,063.55'}, {'price': 'CHF', 'currency': '2,063.55'}, {'price': 'CHF', 'currency': '2,063.55'}, {'price': 'CHF', 'currency': '2,063.55'}, {'price': 'CHF', 'currency': '2,063.55'}, {'price': 'CHF', 'currency': '2,063.55'}, {'price': 'CHF', 'currency': '2,063.55'}, {'price': 'CHF', 'currency': '2,063.55'}, {'price': 'CHF', 'currency': '2,063.55'}, {'price': 'CHF', 'currency': '1,763.55'}, {'price': 'CHF', 'currency': '2,063.55'}, {'price': 'CHF', 'currency': '2,063.55'}, {'price': 'CHF', 'currency': '2,063.55'}, {'price': 'CHF', 'currency': '1,763.55'}, {'price': 'CHF', 'currency': '2,063.55'}, {'price': 'CHF', 'currency': '1,763.55'}, {'price': 'CHF', 'currency': '2,063.55'}, {'price': 'CHF', 'currency': '1,763.55'}, {'price': 'CHF', 'currency': '2,063.55'}, {'price': 'CHF', 'currency': '1,763.55'}, {'price': 'CHF', 'currency': '2,063.55'}, {'price': 'CHF', 'currency': '1,763.55'}, {'price': 'CHF', 'currency': '2,063.55'}]",
GVA,CFB,Wed Aug 06 2025,[],
GVA,CJZ,Wed Aug 06 2025,[],
GVA,CLV,Wed Aug 06 2025,[],
GVA,CPV,Wed Aug 06 2025,[],
GVA,CGR,Wed Aug 06 2025,"[{'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '2,043.55'}, {'price': 'CHF', 'currency': '2,043.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '2,043.55'}, {'price': 'CHF', 'currency': '2,043.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '2,043.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '2,043.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '2,043.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '2,043.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '1,702.55'}, {'price': 'CHF', 'currency': '1,702.55'}]",
GVA,CAW,Wed Aug 06 2025,[],
GVA,CAU,Wed Aug 06 2025,[],
