departure,arrival,arrival_country,arrival_continent,date,prices,lowest_price_today,week_prices,lowest_price_week
IST,LEJ,Germany,Europe,Thu Sep 04 2025,[],,[],
IST,MUC,Germany,Europe,Thu Sep 04 2025,"[{""price"": ""9726.17"", ""currency"": ""TRY""}, {""price"": ""8036.17"", ""currency"": ""TRY""}, {""price"": ""9726.17"", ""currency"": ""TRY""}, {""price"": ""9726.17"", ""currency"": ""TRY""}, {""price"": ""9726.17"", ""currency"": ""TRY""}]",8036.17,"[{""date"": ""01 September (Monday)"", ""price"": ""8036"", ""currency"": ""TRY""}, {""date"": ""02 September (Tuesday)"", ""price"": ""8036"", ""currency"": ""TRY""}, {""date"": ""03 September (Wednesday)"", ""price"": ""8036"", ""currency"": ""TRY""}, {""date"": ""04 September (Thursday)"", ""price"": ""8036"", ""currency"": ""TRY""}, {""date"": ""05 September (Friday)"", ""price"": ""8237"", ""currency"": ""TRY""}, {""date"": ""06 September (Saturday)"", ""price"": ""9927"", ""currency"": ""TRY""}, {""date"": ""07 September (Sunday)"", ""price"": ""8237"", ""currency"": ""TRY""}]",8036.0
IST,NUE,Germany,Europe,Thu Sep 04 2025,"[{""price"": ""8077.17"", ""currency"": ""TRY""}, {""price"": ""9726.17"", ""currency"": ""TRY""}]",8077.17,"[{""date"": ""01 September (Monday)"", ""price"": ""8077"", ""currency"": ""TRY""}, {""date"": ""02 September (Tuesday)"", ""price"": ""8077"", ""currency"": ""TRY""}, {""date"": ""03 September (Wednesday)"", ""price"": ""8077"", ""currency"": ""TRY""}, {""date"": ""04 September (Thursday)"", ""price"": ""8077"", ""currency"": ""TRY""}, {""date"": ""05 September (Friday)"", ""price"": ""8318"", ""currency"": ""TRY""}, {""date"": ""06 September (Saturday)"", ""price"": ""11537"", ""currency"": ""TRY""}, {""date"": ""07 September (Sunday)"", ""price"": ""9968"", ""currency"": ""TRY""}]",8077.0
IST,STR,Germany,Europe,Thu Sep 04 2025,"[{""price"": ""11669.15"", ""currency"": ""TRY""}, {""price"": ""10060.15"", ""currency"": ""TRY""}, {""price"": ""13440.15"", ""currency"": ""TRY""}, {""price"": ""11669.15"", ""currency"": ""TRY""}, {""price"": ""13440.15"", ""currency"": ""TRY""}]",10060.15,"[{""date"": ""01 September (Monday)"", ""price"": ""10060"", ""currency"": ""TRY""}, {""date"": ""02 September (Tuesday)"", ""price"": ""10060"", ""currency"": ""TRY""}, {""date"": ""03 September (Wednesday)"", ""price"": ""10060"", ""currency"": ""TRY""}, {""date"": ""04 September (Thursday)"", ""price"": ""10060"", ""currency"": ""TRY""}, {""date"": ""05 September (Friday)"", ""price"": ""12072"", ""currency"": ""TRY""}, {""date"": ""06 September (Saturday)"", ""price"": ""19757"", ""currency"": ""TRY""}, {""date"": ""07 September (Sunday)"", ""price"": ""17584"", ""currency"": ""TRY""}]",10060.0
IST,ACC,Ghana,Africa,Thu Sep 04 2025,"[{""price"": ""30025.40"", ""currency"": ""TRY""}]",30025.4,"[{""date"": ""01 September (Monday)"", ""price"": ""30025"", ""currency"": ""TRY""}, {""date"": ""02 September (Tuesday)"", ""price"": ""30025"", ""currency"": ""TRY""}, {""date"": ""03 September (Wednesday)"", ""price"": ""30025"", ""currency"": ""TRY""}, {""date"": ""04 September (Thursday)"", ""price"": ""30025"", ""currency"": ""TRY""}, {""date"": ""05 September (Friday)"", ""price"": ""30025"", ""currency"": ""TRY""}, {""date"": ""06 September (Saturday)"", ""price"": ""30025"", ""currency"": ""TRY""}, {""date"": ""07 September (Sunday)"", ""price"": ""30025"", ""currency"": ""TRY""}]",30025.0
IST,AXD,Greece,Europe,Thu Sep 04 2025,"[{""price"": ""10564.74"", ""currency"": ""TRY""}, {""price"": ""23198.74"", ""currency"": ""TRY""}]",10564.74,"[{""date"": ""01 September (Monday)"", ""price"": ""15313"", ""currency"": ""TRY""}, {""date"": ""02 September (Tuesday)"", ""price"": ""10042"", ""currency"": ""TRY""}, {""date"": ""03 September (Wednesday)"", ""price"": ""14066"", ""currency"": ""TRY""}, {""date"": ""04 September (Thursday)"", ""price"": ""10042"", ""currency"": ""TRY""}, {""date"": ""05 September (Friday)"", ""price"": ""10042"", ""currency"": ""TRY""}, {""date"": ""06 September (Saturday)"", ""price"": ""11652"", ""currency"": ""TRY""}, {""date"": ""07 September (Sunday)"", ""price"": ""15313"", ""currency"": ""TRY""}]",10042.0
IST,ATH,Greece,Europe,Thu Sep 04 2025,"[{""price"": ""5501.80"", ""currency"": ""TRY""}, {""price"": ""12663.80"", ""currency"": ""TRY""}, {""price"": ""16525.80"", ""currency"": ""TRY""}, {""price"": ""9565.80"", ""currency"": ""TRY""}, {""price"": ""16123.80"", ""currency"": ""TRY""}, {""price"": ""16123.80"", ""currency"": ""TRY""}, {""price"": ""16123.80"", ""currency"": ""TRY""}, {""price"": ""13025.80"", ""currency"": ""TRY""}]",5501.8,"[{""date"": ""01 September (Monday)"", ""price"": ""9566"", ""currency"": ""TRY""}, {""date"": ""02 September (Tuesday)"", ""price"": ""5502"", ""currency"": ""TRY""}, {""date"": ""03 September (Wednesday)"", ""price"": ""8318"", ""currency"": ""TRY""}, {""date"": ""04 September (Thursday)"", ""price"": ""5502"", ""currency"": ""TRY""}, {""date"": ""05 September (Friday)"", ""price"": ""5301"", ""currency"": ""TRY""}, {""date"": ""06 September (Saturday)"", ""price"": ""6347"", ""currency"": ""TRY""}, {""date"": ""07 September (Sunday)"", ""price"": ""9566"", ""currency"": ""TRY""}]",5301.0
IST,JSH,Greece,Europe,Thu Sep 04 2025,[],,[],
IST,HER,Greece,Europe,Thu Sep 04 2025,"[{""price"": ""15312.74"", ""currency"": ""TRY""}, {""price"": ""23198.74"", ""currency"": ""TRY""}, {""price"": ""15312.74"", ""currency"": ""TRY""}, {""price"": ""10564.74"", ""currency"": ""TRY""}, {""price"": ""18893.74"", ""currency"": ""TRY""}, {""price"": ""12777.74"", ""currency"": ""TRY""}, {""price"": ""23198.74"", ""currency"": ""TRY""}, {""price"": ""21144.14"", ""currency"": ""TRY""}, {""price"": ""12777.74"", ""currency"": ""TRY""}, {""price"": ""23198.74"", ""currency"": ""TRY""}]",10564.74,"[{""date"": ""01 September (Monday)"", ""price"": ""13016"", ""currency"": ""TRY""}, {""date"": ""02 September (Tuesday)"", ""price"": ""10565"", ""currency"": ""TRY""}, {""date"": ""03 September (Wednesday)"", ""price"": ""13016"", ""currency"": ""TRY""}, {""date"": ""04 September (Thursday)"", ""price"": ""10565"", ""currency"": ""TRY""}, {""date"": ""05 September (Friday)"", ""price"": ""12778"", ""currency"": ""TRY""}, {""date"": ""06 September (Saturday)"", ""price"": ""12778"", ""currency"": ""TRY""}, {""date"": ""07 September (Sunday)"", ""price"": ""15313"", ""currency"": ""TRY""}]",10565.0
IST,JIK,Greece,Europe,Thu Sep 04 2025,[],,[],
